,period,scenaros,value
0,1,1,7823.97
1,2,1,5885.46
2,3,1,4669.06
3,4,1,3726.09
4,5,1,2812.750000000001
5,1,65,7823.97
6,2,65,5943.369999999999
7,3,65,4696.02
8,4,65,3661.3
9,5,65,2756.6199999999994
10,1,129,7823.97
11,2,129,5944.16
12,3,129,4711.179999999999
13,4,129,3598.9800000000005
14,5,129,2788.6000000000004
15,1,193,7823.97
16,2,193,5895.610000000001
17,3,193,4742.22
18,4,193,3631.1099999999997
19,5,193,2732.1600000000003
20,1,257,7823.97
21,2,257,5974.08
22,3,257,4548.360000000001
23,4,257,3808.7300000000005
24,5,257,2857.73
25,1,321,7823.97
26,2,321,5983.46
27,3,321,4557.050000000001
28,4,321,3801.99
29,5,321,2865.9800000000005
30,1,385,7823.97
31,2,385,5986.58
32,3,385,4582.0
33,4,385,3826.939999999999
34,5,385,2881.96
35,1,449,7823.97
36,2,449,6007.439999999999
37,3,449,4827.65
38,4,449,3710.29
39,5,449,2791.1800000000003
